source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[protein_coding_gene]	characteristics[concentration of]	characteristics[biological replicate]	characteristics[cell type]	Material Type	technology type	assay name	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[data file]	factor value[protein_coding_gene]	factor value[concentration of]
Sample 4	Saccharomyces cerevisiae	not applicable	not available	UPS1	2500 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 11	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_2500amol_R2.raw	UPS1_2500amol_R2.mzML	UPS1	2500 amol
Sample 4	Saccharomyces cerevisiae	not applicable	not available	UPS1	2500 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 12	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_2500amol_R3.raw	UPS1_2500amol_R3.mzML	UPS1	2500 amol
Sample 5	Saccharomyces cerevisiae	not applicable	not available	UPS1	250 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 13	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_250amol_R1.raw	UPS1_250amol_R1.mzML	UPS1	250 amol
Sample 5	Saccharomyces cerevisiae	not applicable	not available	UPS1	250 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 14	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_250amol_R2.raw	UPS1_250amol_R2.mzML	UPS1	250 amol
Sample 5	Saccharomyces cerevisiae	not applicable	not available	UPS1	250 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 15	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_250amol_R3.raw	UPS1_250amol_R3.mzML	UPS1	250 amol
Sample 6	Saccharomyces cerevisiae	not applicable	not available	UPS1	50000 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 16	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_50000amol_R1.raw	UPS1_50000amol_R1.mzML	UPS1	50000 amol
Sample 6	Saccharomyces cerevisiae	not applicable	not available	UPS1	50000 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 17	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_50000amol_R2.raw	UPS1_50000amol_R2.mzML	UPS1	50000 amol
Sample 6	Saccharomyces cerevisiae	not applicable	not available	UPS1	50000 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 18	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_50000amol_R3.raw	UPS1_50000amol_R3.mzML	UPS1	50000 amol
Sample 7	Saccharomyces cerevisiae	not applicable	not available	UPS1	5000 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 19	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_5000amol_R1.raw	UPS1_5000amol_R1.mzML	UPS1	5000 amol
Sample 7	Saccharomyces cerevisiae	not applicable	not available	UPS1	5000 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 20	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_5000amol_R2.raw	UPS1_5000amol_R2.mzML	UPS1	5000 amol
Sample 7	Saccharomyces cerevisiae	not applicable	not available	UPS1	5000 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 21	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_5000amol_R3.raw	UPS1_5000amol_R3.mzML	UPS1	5000 amol
Sample 8	Saccharomyces cerevisiae	not applicable	not available	UPS1	500 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 22	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_500amol_R1.raw	UPS1_500amol_R1.mzML	UPS1	500 amol
Sample 8	Saccharomyces cerevisiae	not applicable	not available	UPS1	500 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 23	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_500amol_R2.raw	UPS1_500amol_R2.mzML	UPS1	500 amol
Sample 8	Saccharomyces cerevisiae	not applicable	not available	UPS1	500 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 24	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_500amol_R3.raw	UPS1_500amol_R3.mzML	UPS1	500 amol
Sample 9	Saccharomyces cerevisiae	not applicable	not available	UPS1	50 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 25	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_50amol_R1.raw	UPS1_50amol_R1.mzML	UPS1	50 amol
Sample 9	Saccharomyces cerevisiae	not applicable	not available	UPS1	50 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 26	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_50amol_R2.raw	UPS1_50amol_R2.mzML	UPS1	50 amol
Sample 9	Saccharomyces cerevisiae	not applicable	not available	UPS1	50 amol	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 27	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	data-dependent acquisition	5 ppm	0.8 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	AC=MS:1000133;NT=CID	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_50amol_R3.raw	UPS1_50amol_R3.mzML	UPS1	50 amol
