source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[cell type]	Material Type	technology type	assay name	comment[label]	comment[proteomics data acquisition method]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[data file]
Sample 1	Homo sapiens	not applicable	not available	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 1	AC=MS:1002038;NT=label free sample	data-dependent acquisition	AC=MS:1002634;NT=Q Exactive Plus	20 ppm	0.03 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Malonyl;AC=UNIMOD:747;TA=K;MT=variable	1	1	02330a_GG2_3991_04_PTM_TrainKit_Kmod_Malonyl_200fmol_2xIT_2xHCD_R1.mzML	02330a_GG2_3991_04_PTM_TrainKit_Kmod_Malonyl_200fmol_2xIT_2xHCD_R1.mzML
Sample 2	Homo sapiens	not applicable	not available	1	not applicable	lysate	proteomic profiling by mass spectrometry	run 2	AC=MS:1002038;NT=label free sample	data-dependent acquisition	AC=MS:1002634;NT=Q Exactive Plus	20 ppm	0.03 Da	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Malonyl;AC=UNIMOD:747;TA=K;MT=variable	2	1	02330a_GG2_3991_04_PTM_TrainKit_Kmod_Malonyl_200fmol_3xHCD_R1.mzML	02330a_GG2_3991_04_PTM_TrainKit_Kmod_Malonyl_200fmol_3xHCD_R1.mzML
