source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[treatment]	characteristics[treatment concentration]	characteristics[treatment duration]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[separation]	comment[label]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[data file]	comment[fraction identifier]	comment[technical replicate]
chickpea_control_rep1	Cicer arietinum	root	seedling	normal	none	0 ppm	6 days	1	assay_control_rep1	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	nano liquid chromatography	NT=label free sample;AC=MS:1002038	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	201708030201.raw	1	1
chickpea_control_rep2	Cicer arietinum	root	seedling	normal	none	0 ppm	6 days	2	assay_control_rep2	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	nano liquid chromatography	NT=label free sample;AC=MS:1002038	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	201708030202.raw	1	1
chickpea_control_rep3	Cicer arietinum	root	seedling	normal	none	0 ppm	6 days	3	assay_control_rep3	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	nano liquid chromatography	NT=label free sample;AC=MS:1002038	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	201708030203.raw	1	1
chickpea_smoke2000ppm_rep1	Cicer arietinum	root	seedling	normal	Plant-derived smoke	2000 ppm	6 days	1	assay_smoke2000ppm_rep1	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	nano liquid chromatography	NT=label free sample;AC=MS:1002038	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	201708030204.raw	1	1
chickpea_smoke2000ppm_rep2	Cicer arietinum	root	seedling	normal	Plant-derived smoke	2000 ppm	6 days	2	assay_smoke2000ppm_rep2	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	nano liquid chromatography	NT=label free sample;AC=MS:1002038	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	201708030205.raw	1	1
chickpea_smoke2000ppm_rep3	Cicer arietinum	root	seedling	normal	Plant-derived smoke	2000 ppm	6 days	3	assay_smoke2000ppm_rep3	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	nano liquid chromatography	NT=label free sample;AC=MS:1002038	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	201708030206.raw	1	1
