source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[condition]
Sample 1	Homo sapiens	not applicable	not applicable	not applicable	1	cell lysate	run 1	proteomic profiling by mass spectrometry	LFQ_Astral_DIA_15min_50ng_Condition_A_REP1.raw	https://proteobench.cubimed.rub.de/raws/DIA-astral/LFQ_Astral_DIA_15min_50ng_Condition_A_REP1.raw	1	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	AC=MS:1003356;NT=Orbitrap Astral	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	25% NCE	10 ppm	20 ppm	A
Sample 1	Homo sapiens	not applicable	not applicable	not applicable	1	cell lysate	run 2	proteomic profiling by mass spectrometry	LFQ_Astral_DIA_15min_50ng_Condition_A_REP2.raw	https://proteobench.cubimed.rub.de/raws/DIA-astral/LFQ_Astral_DIA_15min_50ng_Condition_A_REP2.raw	2	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	AC=MS:1003356;NT=Orbitrap Astral	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	25% NCE	10 ppm	20 ppm	A
Sample 1	Homo sapiens	not applicable	not applicable	not applicable	1	cell lysate	run 3	proteomic profiling by mass spectrometry	LFQ_Astral_DIA_15min_50ng_Condition_A_REP3.raw	https://proteobench.cubimed.rub.de/raws/DIA-astral/LFQ_Astral_DIA_15min_50ng_Condition_A_REP3.raw	3	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	AC=MS:1003356;NT=Orbitrap Astral	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	25% NCE	10 ppm	20 ppm	A
Sample 2	Homo sapiens	not applicable	not applicable	not applicable	1	cell lysate	run 4	proteomic profiling by mass spectrometry	LFQ_Astral_DIA_15min_50ng_Condition_B_REP1.raw	https://proteobench.cubimed.rub.de/raws/DIA-astral/LFQ_Astral_DIA_15min_50ng_Condition_B_REP1.raw	1	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	AC=MS:1003356;NT=Orbitrap Astral	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	25% NCE	10 ppm	20 ppm	B
Sample 2	Homo sapiens	not applicable	not applicable	not applicable	1	cell lysate	run 5	proteomic profiling by mass spectrometry	LFQ_Astral_DIA_15min_50ng_Condition_B_REP2.raw	https://proteobench.cubimed.rub.de/raws/DIA-astral/LFQ_Astral_DIA_15min_50ng_Condition_B_REP2.raw	2	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	AC=MS:1003356;NT=Orbitrap Astral	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	25% NCE	10 ppm	20 ppm	B
Sample 2	Homo sapiens	not applicable	not applicable	not applicable	1	cell lysate	run 6	proteomic profiling by mass spectrometry	LFQ_Astral_DIA_15min_50ng_Condition_B_REP3.raw	https://proteobench.cubimed.rub.de/raws/DIA-astral/LFQ_Astral_DIA_15min_50ng_Condition_B_REP3.raw	3	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	AC=MS:1003356;NT=Orbitrap Astral	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=PRIDE:0000590	25% NCE	10 ppm	20 ppm	B
