source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[data file]	comment[instrument]	comment[label]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	factor value[organism]
PXD067119-sample-67	Homo sapiens	plasma	1	not available	not available	not available	run 67	proteomic profiling by mass spectrometry	EXP23151_2023ms1325aX7_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-68	Homo sapiens	plasma	1	not available	not available	not available	run 68	proteomic profiling by mass spectrometry	EXP23151_2023ms1323bX49_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-69	Homo sapiens	plasma	1	not available	not available	not available	run 69	proteomic profiling by mass spectrometry	EXP23151_2023ms1325bX50_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-70	Homo sapiens	plasma	1	not available	not available	not available	run 70	proteomic profiling by mass spectrometry	EXP23151_2023ms1325bX63_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-71	Homo sapiens	plasma	1	not available	not available	not available	run 71	proteomic profiling by mass spectrometry	EXP23151_2023ms1325aX25_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-72	Homo sapiens	plasma	1	not available	not available	not available	run 72	proteomic profiling by mass spectrometry	EXP23151_2023ms1323aX38_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-73	Homo sapiens	plasma	1	not available	not available	not available	run 73	proteomic profiling by mass spectrometry	EXP23151_2023ms1323aX22_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-74	Homo sapiens	plasma	1	not available	not available	not available	run 74	proteomic profiling by mass spectrometry	EXP23151_2023ms1325aX40_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-75	Homo sapiens	plasma	1	not available	not available	not available	run 75	proteomic profiling by mass spectrometry	EXP23151_2023ms1324aX22_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-76	Homo sapiens	plasma	1	not available	not available	not available	run 76	proteomic profiling by mass spectrometry	EXP23151_2023ms1323aX8_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-77	Homo sapiens	plasma	1	not available	not available	not available	run 77	proteomic profiling by mass spectrometry	EXP23151_2023ms1323aX12_B.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-78	Homo sapiens	plasma	1	not available	not available	not available	run 78	proteomic profiling by mass spectrometry	EXP23151_2023ms1325bX78_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-79	Homo sapiens	plasma	1	not available	not available	not available	run 79	proteomic profiling by mass spectrometry	EXP23151_2023ms1323bX67_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-80	Homo sapiens	plasma	1	not available	not available	not available	run 80	proteomic profiling by mass spectrometry	EXP23151_2023ms1324aX8_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-81	Homo sapiens	plasma	1	not available	not available	not available	run 81	proteomic profiling by mass spectrometry	EXP23151_2023ms1324bX45_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-82	Homo sapiens	plasma	1	not available	not available	not available	run 82	proteomic profiling by mass spectrometry	EXP23151_2023ms1323aX20_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-83	Homo sapiens	plasma	1	not available	not available	not available	run 83	proteomic profiling by mass spectrometry	EXP23151_2023ms1324bX74_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-84	Homo sapiens	plasma	1	not available	not available	not available	run 84	proteomic profiling by mass spectrometry	EXP23151_2023ms1325aX32_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-85	Homo sapiens	plasma	1	not available	not available	not available	run 85	proteomic profiling by mass spectrometry	EXP23151_2023ms1324bX55_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-86	Homo sapiens	plasma	1	not available	not available	not available	run 86	proteomic profiling by mass spectrometry	EXP23151_2023ms1323bX56_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-87	Homo sapiens	plasma	1	not available	not available	not available	run 87	proteomic profiling by mass spectrometry	EXP23151_2023ms1324aX5_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-88	Homo sapiens	plasma	1	not available	not available	not available	run 88	proteomic profiling by mass spectrometry	EXP23151_2023ms1323aX23_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-89	Homo sapiens	plasma	1	not available	not available	not available	run 89	proteomic profiling by mass spectrometry	EXP23151_2023ms1323bX57_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-90	Homo sapiens	plasma	1	not available	not available	not available	run 90	proteomic profiling by mass spectrometry	EXP23151_2023ms1323bX52_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-91	Homo sapiens	plasma	1	not available	not available	not available	run 91	proteomic profiling by mass spectrometry	EXP23151_2023ms1325bX49_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-92	Homo sapiens	plasma	1	not available	not available	not available	run 92	proteomic profiling by mass spectrometry	EXP23151_2023ms1325aX10_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-93	Homo sapiens	plasma	1	not available	not available	not available	run 93	proteomic profiling by mass spectrometry	EXP23151_2023ms1323aX15_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-94	Homo sapiens	plasma	1	not available	not available	not available	run 94	proteomic profiling by mass spectrometry	EXP23151_2023ms1325bX62_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-95	Homo sapiens	plasma	1	not available	not available	not available	run 95	proteomic profiling by mass spectrometry	EXP23151_2023ms1323bX66_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-96	Homo sapiens	plasma	1	not available	not available	not available	run 96	proteomic profiling by mass spectrometry	EXP23151_2023ms1324bX41_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-97	Homo sapiens	plasma	1	not available	not available	not available	run 97	proteomic profiling by mass spectrometry	EXP23151_2023ms1323bX63_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-98	Homo sapiens	plasma	1	not available	not available	not available	run 98	proteomic profiling by mass spectrometry	EXP23151_2023ms1325aX38_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-99	Homo sapiens	plasma	1	not available	not available	not available	run 99	proteomic profiling by mass spectrometry	EXP23151_2023ms1324bX63_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
