source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[instrument]	comment[label]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	factor value[organism]
PXD003868-sample-11	Saccharomyces cerevisiae	not available	1	run 11	proteomic profiling by mass spectrometry	BY_04_heat_1.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-12	Saccharomyces cerevisiae	not available	1	run 12	proteomic profiling by mass spectrometry	delPBP1_SM_heat_3.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-13	Saccharomyces cerevisiae	not available	1	run 13	proteomic profiling by mass spectrometry	delPBP1_SM_heat_2.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-14	Saccharomyces cerevisiae	not available	1	run 14	proteomic profiling by mass spectrometry	BY_04_1.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-15	Saccharomyces cerevisiae	not available	1	run 15	proteomic profiling by mass spectrometry	delPBP1_SM_heat_1.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-16	Saccharomyces cerevisiae	not available	1	run 16	proteomic profiling by mass spectrometry	BY_04_heat_2.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-17	Saccharomyces cerevisiae	not available	1	run 17	proteomic profiling by mass spectrometry	delPBP1_SM_1.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-18	Saccharomyces cerevisiae	not available	1	run 18	proteomic profiling by mass spectrometry	delPBP1_SM_NaN3_2.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-19	Saccharomyces cerevisiae	not available	1	run 19	proteomic profiling by mass spectrometry	delPBP1_SM_2.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-20	Saccharomyces cerevisiae	not available	1	run 20	proteomic profiling by mass spectrometry	delPBP1_DB_heat_1.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-21	Saccharomyces cerevisiae	not available	1	run 21	proteomic profiling by mass spectrometry	BY_04_NaN3_3.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-22	Saccharomyces cerevisiae	not available	1	run 22	proteomic profiling by mass spectrometry	delPBP1_DB_3.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-23	Saccharomyces cerevisiae	not available	1	run 23	proteomic profiling by mass spectrometry	delPBP1_SM_NaN3_1.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-24	Saccharomyces cerevisiae	not available	1	run 24	proteomic profiling by mass spectrometry	delPBP1_SM_3.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-25	Saccharomyces cerevisiae	not available	1	run 25	proteomic profiling by mass spectrometry	delPBP1_DB_NaN3_1.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-26	Saccharomyces cerevisiae	not available	1	run 26	proteomic profiling by mass spectrometry	BY_04_3.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
PXD003868-sample-27	Saccharomyces cerevisiae	not available	1	run 27	proteomic profiling by mass spectrometry	BY_04_2.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.021464	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.994915	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=N-term;AC=UNIMOD:1;MM=42.010565	4.5 ppm	20.0 ppm	NT=HCD;AC=MS:1000422	Saccharomyces cerevisiae
