source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cell type]	characteristics[enrichment process]	characteristics[biological replicate]	material type	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[file uri]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]	factor value[time]
PXD034623-M2-Gal1-5m-D3	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	3	primary cell	run 11	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_11_5mg3_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO2_11_5mg3_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	5 min
PXD034623-M2-PBS-5m-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 12	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_12_5mp1_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO2_12_5mp1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	5 min
PXD034623-M2-PBS-5m-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 13	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_13_5mp2_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO2_13_5mp2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	5 min
PXD034623-M2-PBS-5m-D3	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	3	primary cell	run 14	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_14_5mp3_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO2_14_5mp3_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	5 min
PXD034623-M2-Gal1-0m-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 15	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_15_0mg1_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO2_15_0mg1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	0 min
PXD034623-M2-Gal1-0m-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 16	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_16_0mg2_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO2_16_0mg2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	0 min
PXD034623-M2-PBS-0m-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 17	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_17_0mp1_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO2_17_0mp1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	0 min
PXD034623-M2-PBS-0m-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 18	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_18_0mp2_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO2_18_0mp2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	0 min
PXD034623-M2-Gal1-12h-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 19	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_19_12hg1_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO2_19_12hg1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	12 hours
PXD034623-M2-Gal1-12h-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 20	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_20_12hg2_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO2_20_12hg2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	12 hours
PXD034623-M2-Gal1-12h-D3	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	3	primary cell	run 21	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_21_12hg3_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO2_21_12hg3_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	12 hours
PXD034623-M2-Gal1-12h-D4	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	4	primary cell	run 22	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_22_12hg4_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO2_22_12hg4_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	12 hours
PXD034623-M2-Gal1-12h-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 23	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_23_12hg1_44min_DIA.raw	2	20200330_EXPL2_Evo3_ZY_IDO2_23_12hg1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	12 hours
