source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cell type]	characteristics[enrichment process]	characteristics[biological replicate]	material type	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[file uri]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]	factor value[time]
PXD034623-M2-Gal1-12h-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 24	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_24_12hg2_44min_DIA.raw	2	20200330_EXPL2_Evo3_ZY_IDO2_24_12hg2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	12 hours
PXD034623-M2-Gal1-12h-D3	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	3	primary cell	run 25	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_25_12hg3_44min_DIA.raw	2	20200330_EXPL2_Evo3_ZY_IDO2_25_12hg3_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	12 hours
PXD034623-M2-Gal1-12h-D4	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	4	primary cell	run 26	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO2_26_12hg4_44min_DIA.raw	2	20200330_EXPL2_Evo3_ZY_IDO2_26_12hg4_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	12 hours
PXD034623-M2-Gal1-6h-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 27	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO3_1_6hg1_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO3_1_6hg1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	6 hours
PXD034623-M2-Gal1-6h-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 28	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO3_2_6hg2_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO3_2_6hg2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	6 hours
PXD034623-M2-PBS-6h-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 29	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO3_3_6hp1_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO3_3_6hp1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	6 hours
PXD034623-M2-PBS-6h-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 30	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO3_4_6hp2_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO3_4_6hp2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	6 hours
PXD034623-M2-Gal1-5m-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 31	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO3_5_5mg1_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO3_5_5mg1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	5 min
PXD034623-M2-Gal1-5m-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 32	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO3_6_5mg2_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO3_6_5mg2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	5 min
PXD034623-M2-Gal1-5m-D3	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	3	primary cell	run 33	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO3_7_5mg3_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO3_7_5mg3_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	5 min
PXD034623-M2-PBS-5m-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 34	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO3_8_5mp1_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO3_8_5mp1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	5 min
PXD034623-M2-PBS-5m-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 35	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO3_9_5mp2_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO3_9_5mp2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	5 min
PXD034623-M2-PBS-5m-D3	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	3	primary cell	run 36	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO3_10_5mp3_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO3_10_5mp3_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	5 min
PXD034623-M2-Gal1-0m-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 37	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO3_11_0mg1_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO3_11_0mg1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	0 min
PXD034623-M2-Gal1-0m-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 38	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO3_12_0mg2_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO3_12_0mg2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	0 min
PXD034623-M2-Gal1-12h-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 39	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO3_13_12hg1_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO3_13_12hg1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	12 hours
PXD034623-M2-Gal1-12h-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 40	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO3_14_12hg2_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO3_14_12hg2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	12 hours
PXD034623-M2-PBS-12h-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 41	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO3_15_12hp1_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO3_15_12hp1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	12 hours
PXD034623-M2-PBS-12h-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 42	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO3_16_12hp2_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO3_16_12hp2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	12 hours
PXD034623-M2-PBS-0m-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 43	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO3_17_0mp1_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO3_17_0mp1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	0 min
PXD034623-M2-PBS-0m-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 44	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO3_18_0mp2_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO3_18_0mp2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	0 min
PXD034623-M2-Gal1-6h-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 45	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO4_1_6hg1_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO4_1_6hg1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	6 hours
PXD034623-M2-Gal1-6h-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 46	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO4_2_6hg2_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO4_2_6hg2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	6 hours
PXD034623-M2-PBS-6h-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 47	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO4_3_6hp1_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO4_3_6hp1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	6 hours
PXD034623-M2-PBS-6h-D2	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	2	primary cell	run 48	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO4_4_6hp2_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO4_4_6hp2_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	PBS control	6 hours
PXD034623-M2-Gal1-5m-D1	Homo sapiens	blood	normal	not available	macrophage	enrichment of phosphorylated protein	1	primary cell	run 49	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Trypsin;AC=MS:1001251	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD034623/20200330_EXPL2_Evo3_ZY_IDO4_5_5mg1_44min_DIA.raw	1	20200330_EXPL2_Evo3_ZY_IDO4_5_5mg1_44min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Galectin-1	5 min
