source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cell type]	characteristics[biological replicate]	material type	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[data file]	factor value[cell type]
MSV000093870-SC-0011	homo sapiens	ovary	not applicable	not applicable	oocyte	11	cell	wAP0024_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0024.raw	oocyte
MSV000093870-SC-0012	homo sapiens	ovary	not applicable	not applicable	oocyte	12	cell	wAP0024_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0024.raw	oocyte
MSV000093870-SC-0013	homo sapiens	ovary	not applicable	not applicable	oocyte	13	cell	wAP0025_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0025.raw	oocyte
MSV000093870-SC-0014	homo sapiens	ovary	not applicable	not applicable	oocyte	14	cell	wAP0025_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0025.raw	oocyte
MSV000093870-SC-0015	homo sapiens	ovary	not applicable	not applicable	oocyte	15	cell	wAP0025_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0025.raw	oocyte
MSV000093870-SC-0016	homo sapiens	ovary	not applicable	not applicable	oocyte	16	cell	wAP0026_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0026.raw	oocyte
MSV000093870-SC-0017	homo sapiens	ovary	not applicable	not applicable	oocyte	17	cell	wAP0026_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0026.raw	oocyte
MSV000093870-SC-0018	homo sapiens	ovary	not applicable	not applicable	oocyte	18	cell	wAP0026_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0026.raw	oocyte
MSV000093870-SC-0019	homo sapiens	ovary	not applicable	not applicable	oocyte	19	cell	wAP0028_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0028.raw	oocyte
MSV000093870-SC-0020	homo sapiens	ovary	not applicable	not applicable	oocyte	20	cell	wAP0028_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0028.raw	oocyte
MSV000093870-SC-0021	homo sapiens	ovary	not applicable	not applicable	oocyte	21	cell	wAP0028_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0028.raw	oocyte
MSV000093870-SC-0022	homo sapiens	ovary	not applicable	not applicable	oocyte	22	cell	wAP0029_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0029.raw	oocyte
MSV000093870-SC-0023	homo sapiens	ovary	not applicable	not applicable	oocyte	23	cell	wAP0029_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0029.raw	oocyte
MSV000093870-SC-0024	homo sapiens	ovary	not applicable	not applicable	oocyte	24	cell	wAP0029_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0029.raw	oocyte
